7503 Grosspetersdorf, Hauptstrasse  106
1210 Wien, Ruthnergasse 89
5152 Dorfbeuern, Filzwiesen 1
9710 Feistritz An Der Drau, Villacher Strasse 514
2630 Ternitz, Putzmannsdorfer Strasse 9
8753 Fohnsdorf, Grazerstrasse 13
1230 Wien, Heizwerkstrasse 5 (Ffc)
4864 Attersee, Attergaustrasse 9
1230 Wien, Breitenfurter Strasse 234
8435 Wagna, Marburgerstrasse 79
1230 Wien, Breitenfurter Str. 324-326
2700 Wiener Neustadt, Gerasdorfergasse 31
1030 Wien, Erdbergstrasse 85
2620 Neunkirchen, Raiffeisenstrasse 4
2130 Mistelbach, Herzog Albrecht Str. 2
9500 Villach, Nikolaigasse 39
4594 Gruenburg, Steyrtalstrasse 4
2700 Wiener Neustadt, Herzog-Leopold-Strasse 27
2283 Obersiebenbrunn, Josef-Slavik-Strasse 1
6063 Innsbruck/Rum, Siemensstr. 39
1010 Wien, Hoher Markt 12
3250 Wieselburg, Beethovenstrasse 4
8230 Hartberg, Im Hatric 1
2000 Stockerau, Wiener Str. 38
3500 Krems, Landersdorferstr.8
8051 Graz, Josef-Pock-Strasse 37
2460 Bruckneudorf, Lagerstr. 8
7561 Heiligenkreuz/Lafnitztal, Obere Hauptstrasse 23
1140 Wien, Albert Schweitzer Gasse
2405 Bad Deutsch-Altenburg, Bauweltstrasse 1
2651 Reichenau An Der Rax, Hauptstrasse 34-36
1120 Wien, Ruckergasse 36-38
8630 Mariazell, Grazer Strasse 26
7122 Gols, Volksfestgasse 2-4
4522 Sierning, Lagerhausstrasse 25
2344 Maria Enzersdorf, Südstadtzentrum 1
8786 Rottenmann, Technologiepark 1
1150 Wien, Diefenbachgasse 52
9020 Klagenfurt, Petruigasse 13
7540 Guessing, Faludistrasse 16
2281 Raasdorf, Grossenzersdorfer Strasse 1
1210 Wien, Seyringer Strasse 12-14
4223 Katsdorf, Linzer Strasse 8
3470 Kirchberg Am Wagram, Lagerhausstrasse 4
6344 Walchsee, Johannesstrasse 3
9500 Villach, Bruno-Kreisky-Str. 25
1110 Wien, Simmeringer Hauptstr. 101
1150 Wien, Gablenzgasse 5-13
1230 Wien, Sterngasse 6
5020 Salzburg, Otto-Holzbauerg. 2 (Alpenstr. 92-94)
1210 Wien, Oedenburgerstr 7 (Ffc)
1080 Wien, Strozzigasse 2
9020 Klagenfurt, St. Veiter Strasse 161
3032 Eichgraben, Wiener Strasse 10
1120 Wien, Wolfganggasse 59/Ecke Eichenstrasse 2
2700 Wiener Neustadt, Stadionstrasse 12
2320 Schwechat, Wiener Str. 12-16 (Ekz Schwechat)
2700 Wiener Neustadt, Marktgasse 2
1110 Wien, Swatoschgasse 3
8530 Deutschlandsberg, Frauentaler Str. 25
7111 Parndorf, Richard-Erlingerplatz 2
4531 Kematen An Der Krems, Kremstalstrasse 10
4161 Ulrichsberg, Dreisesselbergstrasse 15
8793 Trofaiach, Goessgrabenstrasse 1
3950 Gmuend, Habsburg Lothringen Str. 2
1190 Wien, Krottenbachstr. 82-88
1200 Wien, Handelskai 94-96
1210 Wien, Pragerstr. 138-140
6330 Kufstein, Salurner Strasse 59
8280 Loipersdorf Bei Fuerstenf, Umfahrungsstrasse 58
8570 Voitsberg, Am Vorum 3/Innovationspark
2333 Leopoldsdorf, Maria Lanzendorferstr. 1
2540 Bad Voeslau, Industriestr. 12-14
2700 Wiener Neustadt, Wiener Strasse 127
7000 Eisenstadt, Rusterstrasse 86-100
2421 Kittsee, Eisenstaedterstrasse 31
4300 St. Valentin, Anne-Frank-Strasse 3
1170 Wien, Hernalser Hauptstrasse 86
9632 Kirchbach, Kirchbach 193
6020 Innsbruck (Stadt), Olympiastrasse 11
2130 Mistelbach, Mitschastr. 41
4400 Steyr, Pachergasse 6
1220 Wien, Zwerchaeckerweg  20-24
1100 Wien, Wiedner Guertel 13 (Ug)
1030 Wien, Fred-Zinnemann-Platz 4, Stiege 3
5730 Mittersill, Zellerstrasse 37
4910 Ried Im Innkreis, Braunauerstrasse 4
3364 Neuhofen An Der Ybbs, Euratsfelderstrasse 10
8342 Gnas, Gnas 191
9500 Villach, Purtscherstrasse 2
2111 Tresdorf, Gewerbering 2
2020 Hollabrunn, Mühlenring 3  / Znaimerstrasse 50
1100 Wien, Absberggasse 32
1070 Wien, Kaiserstrasse 91
3270 Scheibbs, Rutesheimer Strasse 11
1070 Wien, Burggasse 90
5310 Mondsee, Moosstrasse 2
8720 Knittelfeld, Kaerntner Strasse 74
6580 St. Anton Am Arlberg, Arlbergstrasse 73
5274 Burgkirchen, Mattighofner Strasse 46
2733 Gruenbach Am Schneeberg, Hauptplatz 6
6401 Inzing, Doktor-Gustav-Markt-Weg 1
3100 St. Poelten, Josef Zwetzbacher-Gasse 4/Purkersdorfer Strasse
1080 Wien, Lerchenfelderstrasse 150
1120 Wien, Schoenbrunner Strasse 194
7022 Schattendorf, Baumgartner Strasse
8410 Wildon, Kainachtalstrasse 27
6230 Brixlegg, Herrnhausplatz 5
5020 Salzburg, Ginzkeyplatz 4
